,RAMP2,MS4A2,label
570,0.5719257593154907,0.0,ENACT
571,0.8185971975326538,0.0,ENACT
572,1.151878833770752,0.0,ENACT
573,0.0,0.7034541368484497,ENACT
574,0.029890177771449,0.0,ENACT
575,0.0,0.1687529385089874,ENACT
576,0.938020884990692,0.0,ENACT
577,1.086350917816162,0.0,ENACT
578,0.7519628405570984,0.0,ENACT
579,1.1785823106765747,0.0,ENACT
580,0.5965813398361206,0.0,ENACT
581,0.122966930270195,0.0,ENACT
582,0.5663235783576965,0.0,ENACT
583,0.6251826286315918,0.0,ENACT
584,2.1894736289978027,0.0,ENACT
585,0.8965517282485962,0.0,ENACT
586,0.0539302974939346,0.0,ENACT
587,0.6850175261497498,0.0,ENACT
588,0.4812770187854767,0.0,ENACT
589,0.802519679069519,0.0,ENACT
590,0.0,1.051783323287964,ENACT
591,0.0,1.0268669128417969,ENACT
592,0.0583864189684391,0.0,ENACT
593,0.2365063577890396,0.0,ENACT
594,1.443910837173462,0.0,ENACT
595,0.1583155393600464,0.0,ENACT
596,0.0,0.1017701104283332,ENACT
597,0.815636157989502,0.0,ENACT
598,0.6743221282958984,0.0,ENACT
599,0.8058592081069946,0.0,ENACT
600,1.7148268222808838,0.0,ENACT
601,0.0,0.3919900357723236,ENACT
602,0.0777961686253547,0.0,ENACT
603,0.0,1.121076226234436,ENACT
604,0.0,1.1244908571243286,ENACT
605,0.0,0.899108350276947,ENACT
606,1.0499889850616455,0.0,ENACT
607,0.0,1.268987059593201,ENACT
608,0.0025266795419156,0.0,ENACT
609,0.0,2.1039087772369385,ENACT
610,0.4072785079479217,0.0,ENACT
611,0.0,0.8340787291526794,ENACT
612,0.3968570530414581,0.0,ENACT
613,0.0,0.0167844146490097,ENACT
614,1.4189260005950928,0.0,ENACT
615,0.0,0.9496952295303344,ENACT
616,0.5828463435173035,0.0,ENACT
617,0.0,1.2346283197402954,ENACT
618,0.0,0.1948905289173126,ENACT
619,0.0218798965215683,0.0,ENACT
620,0.0,1.241678237915039,ENACT
621,0.0,0.7948386073112488,ENACT
622,1.13043475151062,0.0,ENACT
623,0.000421713135438,0.0,ENACT
624,0.0795829966664314,0.0,ENACT
625,0.3009165823459625,0.0,ENACT
626,0.0,1.25511372089386,ENACT
627,0.0,1.4276745319366455,ENACT
628,0.0,0.0554675199091434,ENACT
629,0.652595579624176,0.0,ENACT
630,0.0,1.0645325183868408,ENACT
631,0.0,0.786115825176239,ENACT
632,2.6396408081054688,0.0,ENACT
633,0.0,1.0399999618530271,ENACT
634,0.0,1.1613365411758425,ENACT
635,0.4177326261997223,0.0,ENACT
636,1.0910617113113403,0.0,ENACT
637,1.3804421424865725,0.0,ENACT
638,0.0,0.8013980984687805,ENACT
639,0.1662393361330032,0.0,ENACT
640,0.0,2.3330652713775635,ENACT
641,0.6507640480995178,0.0,ENACT
642,0.0,0.0449631437659263,ENACT
643,0.0,0.0002550650096964,ENACT
644,1.730254888534546,0.0,ENACT
645,0.2442695051431656,0.0,ENACT
646,0.0,1.3436959981918335,ENACT
647,0.0,0.2753791213035583,ENACT
648,0.0,3.080606460571289,ENACT
649,1.6226567029953003,0.0,ENACT
650,1.1036617755889893,0.0,ENACT
651,0.3277305662631988,0.0,ENACT
652,1.1409918069839478,0.0,ENACT
653,1.447919487953186,0.0,ENACT
654,0.7666666507720947,0.0,ENACT
655,1.288746953010559,0.0,ENACT
656,0.5921156406402588,0.0,ENACT
657,0.0,0.4022505581378937,ENACT
658,0.0,0.5116112232208252,ENACT
659,0.1416986435651779,0.0,ENACT
660,1.5677660703659058,0.0,ENACT
661,0.9982718825340272,0.0,ENACT
662,0.0,0.289135217666626,ENACT
663,1.2266666889190674,0.0,ENACT
664,1.0926209688186646,0.0,ENACT
665,0.6041167974472046,0.0,ENACT
666,0.0,0.7987964153289795,ENACT
667,0.0285624731332063,0.0,ENACT
668,0.0,0.6562512516975403,ENACT
669,0.0,0.744680643081665,ENACT
670,0.0,3.3022072315216064,ENACT
671,0.0,0.1863612830638885,ENACT
672,1.90666663646698,0.0,ENACT
673,0.0,0.9002440571784973,ENACT
674,0.0,0.646766185760498,ENACT
675,0.7205438613891602,0.5599597692489624,ENACT
676,0.5770502090454102,0.0,ENACT
677,0.8679081797599792,0.0,ENACT
678,0.0,1.00986647605896,ENACT
679,1.6982245445251465,0.0,ENACT
680,0.4250406920909881,0.0,ENACT
681,0.0,0.8465141654014587,ENACT
682,0.7956236004829407,0.0,ENACT
683,1.5766981840133667,0.0,ENACT
684,0.0,1.0399999618530271,ENACT
685,0.0,0.0583029426634311,ENACT
686,0.9326602816581726,0.0,ENACT
687,0.0,0.2805123329162597,ENACT
688,1.8497453927993768,0.0,ENACT
689,0.4424018561840057,0.0,ENACT
690,1.3677644729614258,0.0,ENACT
691,0.0839310735464096,0.0,ENACT
692,1.0897703170776367,0.0,ENACT
693,0.0829037055373191,0.0,ENACT
694,0.0,0.6414875388145447,ENACT
695,1.9157894849777224,0.0,ENACT
696,0.7209486365318298,0.0,ENACT
697,0.0,0.3761048913002014,ENACT
698,0.7517017722129822,0.0,ENACT
699,1.2380952835083008,0.0,ENACT
700,0.2386310547590255,0.0,ENACT
701,0.0,1.0214285850524902,ENACT
702,0.0,0.9577412605285645,ENACT
703,1.0175204277038574,0.0,ENACT
704,1.5798383951187134,0.0,ENACT
705,0.3309511542320251,0.0,ENACT
706,1.8571428060531616,0.0,ENACT
707,0.0,0.0004809636448044,ENACT
708,1.0241063833236694,0.0,ENACT
709,0.0010630533797666,0.0,ENACT
710,0.0,2.109637498855591,ENACT
711,1.237141489982605,0.0,ENACT
712,0.6941514611244202,0.0,ENACT
713,0.9653443694114684,0.0,ENACT
714,2.4500820636749268,0.0,ENACT
715,0.0,1.307692289352417,ENACT
716,0.0,1.206924319267273,ENACT
717,0.7789567708969116,0.0,ENACT
718,0.5447192788124084,0.0,ENACT
719,0.0,1.064272403717041,ENACT
720,0.0,0.5872488021850586,ENACT
721,0.0,0.1192086338996887,ENACT
722,0.0,1.1220375299453735,ENACT
723,0.0,1.0067949295043943,ENACT
724,0.0,1.7333333492279053,ENACT
725,8.518878757968196e-07,0.0,ENACT
726,0.9149746298789978,0.0,ENACT
727,0.0,0.042503748089075,ENACT
728,0.0,2.2624659538269043,ENACT
729,0.0,0.298572301864624,ENACT
730,0.0,0.7759978771209717,ENACT
731,1.908562541007996,0.0,ENACT
732,1.902531266212464,0.0,ENACT
733,0.0543465800583362,0.0,ENACT
734,0.0,1.4999756813049316,ENACT
735,0.0,3.248204469680786,ENACT
736,0.1735531836748123,0.0,ENACT
737,0.1947275847196579,0.0,ENACT
738,0.6087334752082825,0.0,ENACT
739,1.4262994527816772,0.0,ENACT
740,0.1078182309865951,0.0,ENACT
741,1.037125825881958,0.0,ENACT
742,1.5318377017974854,0.0,ENACT
743,0.0,0.7479153871536255,ENACT
744,0.0,1.9791582822799685,ENACT
745,0.0,1.256310224533081,ENACT
746,0.0,0.0197604410350322,ENACT
747,1.2902122735977173,0.0,ENACT
748,1.4788131713867188,0.0,ENACT
749,0.7448925971984863,0.0,ENACT
750,1.331821322441101,0.0,ENACT
751,0.9801921248435974,0.0,ENACT
752,0.8477161526679993,0.0,ENACT
753,2.076509714126587,0.0,ENACT
754,0.0,1.0554499626159668,ENACT
755,0.0,0.8245401382446289,ENACT
756,0.4085080325603485,0.0,ENACT
757,0.8233137726783752,0.0,ENACT
758,0.0,0.1739079058170318,ENACT
759,0.3005325496196747,0.0,ENACT
760,1.42689847946167,0.0,ENACT
761,0.0,1.8578261137008667,ENACT
762,0.0,0.755730926990509,ENACT
763,1.7295395135879517,0.0,ENACT
764,0.4938422441482544,0.0,ENACT
765,1.7534981966018677,0.0,ENACT
766,0.0,0.8846440315246582,ENACT
767,0.9285714030265808,0.0,ENACT
768,0.0,0.435458779335022,ENACT
769,0.1041985601186752,0.0,ENACT
770,0.0,1.6246740818023682,ENACT
771,0.0,1.6086537837982178,ENACT
772,0.0,3.4782607555389404,ENACT
