Gene1,Gene2,Cell_Coexpression,Nuclei_Coexpression,Relative_Increase
TRBC2,EGFR,0.028368794326241134,0.0045662100456621,6.212765957446809
IFI44L,CEBPB,0.03787878787878788,0.006097560975609756,6.212121212121212
FXYD5,CEBPB,0.03787878787878788,0.006097560975609756,6.212121212121212
C1R,CXCL16,0.032520325203252036,0.005235602094240838,6.211382113821139
SPARCL1,BTN3A2,0.034482758620689655,0.005555555555555556,6.206896551724138
PTGDS,BTN3A2,0.034482758620689655,0.005555555555555556,6.206896551724138
MS4A6A,ILF3,0.037383177570093455,0.006024096385542169,6.205607476635513
CTDSP1,RHOA,0.03289473684210526,0.005319148936170213,6.184210526315789
RACK1,EFR3A,0.03508771929824561,0.005681818181818182,6.175438596491228
HNRNPUL1,ANXA7,0.043478260869565216,0.007042253521126761,6.173913043478261
CMPK1,FOS,0.025510204081632654,0.004132231404958678,6.173469387755102
LCP1,ENY2,0.03389830508474576,0.005494505494505495,6.169491525423728
NUCB1,NCL,0.04395604395604396,0.007142857142857143,6.153846153846154
COL6A2,ALDH2,0.02531645569620253,0.00411522633744856,6.151898734177214
ARRDC3,GGCT,0.05,0.008130081300813009,6.1499999999999995
ARGLU1,SELENOF,0.02717391304347826,0.004424778761061947,6.141304347826087
PCMTD1,RHOBTB3,0.046511627906976744,0.007575757575757576,6.13953488372093
IER3,TFRC,0.04032258064516129,0.006578947368421052,6.129032258064516
ACADVL,SAMHD1,0.04504504504504504,0.007352941176470588,6.126126126126126
ARGLU1,ARL6IP4,0.03875968992248062,0.006329113924050633,6.124031007751938
CHIT1,WDR13,0.0392156862745098,0.00641025641025641,6.11764705882353
ASAH1,CTSC,0.026595744680851064,0.004347826086956522,6.117021276595745
MYL9,EPAS1,0.03870967741935484,0.006329113924050633,6.116129032258065
ENG,TMEM106C,0.032520325203252036,0.005319148936170213,6.1138211382113825
MS4A6A,CLIC6,0.024242424242424242,0.003968253968253968,6.109090909090909
EGR1,MAPKAPK2,0.029585798816568046,0.0048543689320388345,6.094674556213018
IKZF1,PLS3,0.02197802197802198,0.0036101083032490976,6.0879120879120885
PTBP3,IRF2BP2,0.056338028169014086,0.009259259259259259,6.084507042253522
NBL1,BRD9,0.04,0.006578947368421052,6.08
LGALS1,QPRT,0.06976744186046512,0.011494252873563218,6.069767441860465
HSPG2,SP100,0.034482758620689655,0.005681818181818182,6.068965517241379
CLTA,HMGN3,0.04597701149425287,0.007575757575757576,6.068965517241379
TRBC2,HMGN3,0.04597701149425287,0.007575757575757576,6.068965517241379
MMP2,VEGFA,0.026490066225165563,0.004366812227074236,6.066225165562914
MMP2,EPS8,0.05714285714285714,0.009433962264150943,6.057142857142857
LUM,EPS8,0.05714285714285714,0.009433962264150943,6.057142857142857
AEBP1,GPBP1L1,0.036036036036036036,0.005952380952380952,6.054054054054054
PPT1,TAGLN,0.02702702702702703,0.004464285714285714,6.054054054054054
CRIP1,TAGLN,0.02702702702702703,0.004464285714285714,6.054054054054054
ODF3B,TAGLN,0.02702702702702703,0.004464285714285714,6.054054054054054
TNS3,GSN,0.038461538461538464,0.006369426751592357,6.038461538461538
RGCC,SDF4,0.026595744680851064,0.004405286343612335,6.037234042553191
COL6A1,TNFSF10,0.03488372093023256,0.005780346820809248,6.034883720930233
PECAM1,CHCHD2,0.02072538860103627,0.003436426116838488,6.0310880829015545
PTGDS,CHCHD2,0.02072538860103627,0.003436426116838488,6.0310880829015545
KCTD12,EMC4,0.0423728813559322,0.007042253521126761,6.016949152542373
IKZF1,CTSA,0.01680672268907563,0.002793296089385475,6.016806722689076
ZNF146,FCER1G,0.01824817518248175,0.00303951367781155,6.003649635036496
METTL9,RNF7,0.03278688524590164,0.00546448087431694,6.0
CD52,LRCH4,0.03333333333333333,0.005555555555555556,6.0
CD37,RBM47,0.046511627906976744,0.007751937984496124,6.0
RGCC,IFI44,0.037037037037037035,0.006172839506172839,6.0
BLOC1S1,MEA1,0.05,0.008333333333333333,6.0
LCP1,PRDX2,0.047619047619047616,0.007936507936507936,6.0
ITM2C,RBM47,0.046511627906976744,0.007751937984496124,6.0
DEPP1,TRAPPC3,0.02702702702702703,0.0045045045045045045,6.0
COL6A3,NHP2,0.06201550387596899,0.010362694300518135,5.984496124031008
MYL9,NHP2,0.031007751937984496,0.0051813471502590676,5.984496124031008
ARCN1,PFKFB3,0.049019607843137254,0.00819672131147541,5.980392156862744
DCN,NINJ2,0.03571428571428571,0.005988023952095809,5.9642857142857135
YBX1,CIB1,0.04807692307692308,0.008064516129032258,5.961538461538462
SGK1,B4GALT1,0.052980132450331126,0.008888888888888889,5.960264900662252
WIPF1,WDR83OS,0.02962962962962963,0.004975124378109453,5.955555555555556
SEC14L1,CAPN1,0.032520325203252036,0.00546448087431694,5.951219512195123
FBLN1,CAPN1,0.032520325203252036,0.00546448087431694,5.951219512195123
BGN,NECTIN2,0.03361344537815126,0.005649717514124294,5.949579831932773
RGCC,TAX1BP3,0.05263157894736842,0.008849557522123894,5.947368421052631
C7,TRIM22,0.027777777777777776,0.004672897196261682,5.944444444444445
SPI1,ADAR,0.021929824561403508,0.0036900369003690036,5.942982456140351
CEBPB,FXYD5,0.016233766233766232,0.0027472527472527475,5.909090909090908
MYL9,HM13,0.023255813953488372,0.003937007874015748,5.906976744186046
SLC38A2,RBM3,0.03508771929824561,0.005952380952380952,5.894736842105263
BTG1,RBM3,0.03508771929824561,0.005952380952380952,5.894736842105263
DHRS3,AHNAK,0.01567398119122257,0.0026595744680851063,5.893416927899686
UTRN,CD52,0.027649769585253458,0.004694835680751174,5.889400921658987
CALCOCO2,CD52,0.027649769585253458,0.004694835680751174,5.889400921658987
WIPF1,ZNF644,0.037037037037037035,0.006289308176100629,5.888888888888888
C7,NDUFA1,0.032,0.005434782608695652,5.888
ZCRB1,TGOLN2,0.032679738562091505,0.005555555555555556,5.882352941176471
AQP1,TGOLN2,0.032679738562091505,0.005555555555555556,5.882352941176471
ZBTB18,BGN,0.017241379310344827,0.002932551319648094,5.879310344827586
FCGRT,BGN,0.017241379310344827,0.002932551319648094,5.879310344827586
SERPINB1,COL6A3,0.014018691588785047,0.002386634844868735,5.873831775700935
TNIK,COL6A3,0.014018691588785047,0.002386634844868735,5.873831775700935
CXCL16,COL6A3,0.014018691588785047,0.002386634844868735,5.873831775700935
PDXK,COL6A3,0.014018691588785047,0.002386634844868735,5.873831775700935
HMGN3,MT2A,0.03355704697986577,0.005714285714285714,5.87248322147651
